Rk,Player,AST,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
1,Tim Duncan,11,2000-03-25,23-335,SAS,,CLE,W 96-76,*,44,5,12,.417,5,12,.417,0,0,,7,12,.583,.492,4,13,17,11,1,4,4,2,17,22.0,10.6,20,F-C,duncati01
2,Tim Duncan,11,2010-11-30,34-219,SAS,@,GSW,W 118-98,*,33,6,15,.400,6,15,.400,0,0,,3,5,.600,.436,6,12,18,11,0,2,2,1,15,20.6,10.9,14,F-C,duncati01
3,Tim Duncan,10,2003-03-14,26-323,SAS,,LAC,W 107-96,*,34,10,15,.667,10,15,.667,0,0,,4,6,.667,.680,4,11,15,10,1,2,1,1,24,30.8,23.2,23,F-C,duncati01
4,Tim Duncan,10,2014-12-05,38-224,SAS,@,MEM,W 107-101,*,36,6,12,.500,6,12,.500,0,0,,2,3,.667,.526,4,6,10,10,0,2,2,2,14,17.8,9.9,7,F-C,duncati01
5,Tim Duncan,9,1998-02-17,21-298,SAS,,DET,W 95-94,*,42,13,18,.722,13,18,.722,0,0,,2,2,1.000,.742,6,5,11,9,0,2,3,4,28,29.4,16.8,17,F-C,duncati01
6,Tim Duncan,9,2000-03-14,23-324,SAS,,ATL,W 94-79,*,41,9,21,.429,9,21,.429,0,0,,3,3,1.000,.470,4,9,13,9,1,2,3,2,21,20.3,7.9,15,F-C,duncati01
7,Tim Duncan,9,2002-04-03,25-343,SAS,,SEA,W 90-88,*,46,12,26,.462,12,26,.462,0,0,,6,9,.667,.501,7,11,18,9,2,2,6,2,30,26.5,10.0,9,F-C,duncati01
8,Tim Duncan,9,2003-01-14,26-264,SAS,,PHO,W 108-100 (OT),*,51,16,25,.640,16,25,.640,0,0,,6,6,1.000,.687,4,12,16,9,1,4,2,4,38,39.8,21.6,8,F-C,duncati01
9,Tim Duncan,9,2003-04-14,26-354,SAS,@,UTA,W 91-83,*,43,9,16,.563,9,15,.600,0,1,.000,3,4,.750,.591,3,12,15,9,1,6,4,3,21,25.0,17.0,7,F-C,duncati01
10,Tim Duncan,9,2005-02-11,28-292,SAS,@,NJN,W 101-91,*,37,5,16,.313,5,16,.313,0,0,,6,8,.750,.410,2,13,15,9,0,2,3,3,16,14.8,7.1,7,F-C,duncati01
11,Tim Duncan,9,2006-03-06,29-315,SAS,@,LAL,W 103-96,*,32,8,16,.500,8,16,.500,0,0,,2,2,1.000,.533,2,5,7,9,2,1,0,1,18,21.5,18.1,28,F-C,duncati01
12,Tim Duncan,9,2007-01-28,30-278,SAS,@,LAL,W 96-94 (OT),*,43,10,23,.435,10,23,.435,0,0,,1,2,.500,.440,4,10,14,9,1,3,3,5,21,18.7,10.5,4,F-C,duncati01
13,Tim Duncan,9,2009-01-08,32-258,SAS,,LAC,W 106-84,*,31,4,11,.364,4,11,.364,0,0,,0,0,,.364,1,3,4,9,0,2,3,0,8,8.2,0.8,11,F-C,duncati01
14,Tim Duncan,8,1999-04-18,22-358,SAS,,HOU,W 86-83,*,45,4,12,.333,4,12,.333,0,0,,3,4,.750,.400,4,5,9,8,0,1,2,2,11,11.6,1.4,4,F-C,duncati01
15,Tim Duncan,8,2001-11-24,25-213,SAS,@,MIN,L 94-99,*,45,7,20,.350,7,20,.350,0,0,,7,9,.778,.438,5,13,18,8,1,1,0,2,21,22.9,10.0,-4,F-C,duncati01
16,Tim Duncan,8,2002-02-15,25-296,SAS,@,GSW,W 108-99,*,43,12,24,.500,12,24,.500,0,0,,12,14,.857,.597,4,7,11,8,1,0,4,2,36,29.9,12.5,8,F-C,duncati01
17,Tim Duncan,8,2002-03-31,25-340,SAS,@,LAL,L 95-96,*,44,11,28,.393,11,28,.393,0,0,,4,4,1.000,.437,1,10,11,8,0,3,4,3,26,17.0,6.8,-2,F-C,duncati01
18,Tim Duncan,8,2002-12-18,26-237,SAS,@,SEA,W 91-88,*,42,6,12,.500,6,12,.500,0,0,,6,10,.600,.549,6,9,15,8,0,4,2,4,18,22.1,14.6,8,F-C,duncati01
19,Tim Duncan,8,2003-03-04,26-313,SAS,,PHO,L 97-104,*,44,14,18,.778,14,17,.824,0,1,.000,7,9,.778,.797,8,13,21,8,2,4,2,1,35,44.7,27.6,-6,F-C,duncati01
20,Tim Duncan,8,2003-03-27,26-336,SAS,,HOU,W 98-85,*,34,12,16,.750,12,16,.750,0,0,,1,3,.333,.722,6,8,14,8,1,3,0,4,25,31.5,26.5,11,F-C,duncati01
