Rk,Player,BLK,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Tim Duncan,9,2007-01-26,30-276,SAS,,MEM,W 112-96,*,35,10,16,.625,10,16,.625,0,0,,6,10,.600,.637,4,9,13,2,0,9,7,3,26,22.2,1.5,10,F-C,duncati01
2,Tim Duncan,8,1997-12-26,21-245,SAS,,BOS,W 101-86,*,38,9,12,.750,9,12,.750,0,0,,5,8,.625,.741,3,12,15,1,0,8,6,2,23,22.2,7.8,15,F-C,duncati01
3,Tim Duncan,8,1998-02-28,21-309,SAS,,PHI,W 100-88,*,45,12,21,.571,12,21,.571,0,0,,3,4,.750,.593,4,13,17,3,0,8,2,2,27,28.3,11.1,11,F-C,duncati01
4,Tim Duncan,8,1999-11-26,23-215,SAS,,CHI,W 101-78,*,36,9,14,.643,9,14,.643,0,0,,5,7,.714,.673,2,8,10,1,2,8,3,3,23,23.9,12.4,13,F-C,duncati01
5,Tim Duncan,8,2002-12-06,26-225,SAS,,PHI,W 98-93,*,42,7,11,.636,7,10,.700,0,1,.000,15,20,.750,.732,3,7,10,6,0,8,8,2,29,27.3,11.0,4,F-C,duncati01
6,Tim Duncan,8,2003-10-29,27-187,SAS,@,DEN,L 72-80,*,34,7,22,.318,7,22,.318,0,0,,3,4,.750,.358,5,16,21,1,2,8,5,4,17,14.0,8.3,-19,F-C,duncati01
7,Tim Duncan,7,1997-12-17,21-236,SAS,,VAN,W 98-87,*,43,7,16,.438,7,16,.438,0,0,,5,7,.714,.498,3,10,13,3,0,7,4,4,19,16.3,-0.2,18,F-C,duncati01
8,Tim Duncan,7,1998-02-26,21-307,SAS,,TOR,W 97-86,*,39,9,15,.600,9,15,.600,0,0,,6,7,.857,.664,5,6,11,4,2,7,5,2,24,25.9,13.3,13,F-C,duncati01
9,Tim Duncan,7,1998-04-10,21-350,SAS,,SEA,W 99-84,*,46,13,23,.565,13,23,.565,0,0,,2,3,.667,.576,4,13,17,5,0,7,3,2,28,28.0,9.3,22,F-C,duncati01
10,Tim Duncan,7,1999-03-20,22-329,SAS,@,VAN,W 92-88 (OT),*,46,9,24,.375,9,24,.375,0,0,,6,7,.857,.443,2,12,14,1,2,7,4,3,24,17.8,2.6,8,F-C,duncati01
11,Tim Duncan,7,1999-04-20,22-360,SAS,@,UTA,W 83-69,*,40,15,24,.625,15,24,.625,0,0,,6,8,.750,.654,3,7,10,1,0,7,3,3,36,30.0,19.7,17,F-C,duncati01
12,Tim Duncan,7,2001-12-30,25-249,SAS,@,MEM,W 83-79,*,46,12,25,.480,12,25,.480,0,0,,3,8,.375,.473,5,13,18,4,0,7,4,2,27,22.6,9.4,8,F-C,duncati01
13,Tim Duncan,7,2002-04-17,25-357,SAS,@,UTA,W 86-84,*,43,9,18,.500,9,18,.500,0,0,,8,11,.727,.569,2,14,16,6,0,7,2,4,26,26.9,14.3,9,F-C,duncati01
14,Tim Duncan,7,2004-12-09,28-228,SAS,@,HOU,L 80-81,*,38,7,22,.318,7,22,.318,0,0,,12,14,.857,.462,4,14,18,3,0,7,3,3,26,22.4,12.5,8,F-C,duncati01
15,Tim Duncan,7,2007-03-17,30-326,SAS,,BOS,L 85-91,*,40,6,14,.429,6,14,.429,0,0,,8,14,.571,.496,4,12,16,3,2,7,4,3,20,20.4,8.7,-6,F-C,duncati01
16,Tim Duncan,7,2010-12-15,34-234,SAS,,MIL,W 92-90,*,31,6,10,.600,6,10,.600,0,0,,1,2,.500,.597,1,10,11,1,0,7,3,3,13,13.1,4.9,2,F-C,duncati01
17,Tim Duncan,7,2013-01-13,36-263,SAS,,MIN,W 106-88,*,29,4,8,.500,4,8,.500,0,0,,4,5,.800,.588,1,8,9,5,3,7,3,2,12,18.3,13.5,2,F-C,duncati01
18,Tim Duncan,6,1997-12-10,21-229,SAS,,LAC,W 102-87,*,42,6,17,.353,6,17,.353,0,0,,2,4,.500,.373,4,8,12,1,1,6,3,2,14,11.0,-4.8,13,F-C,duncati01
19,Tim Duncan,6,1998-04-16,21-356,SAS,@,VAN,W 110-97,*,39,15,28,.536,15,28,.536,0,0,,2,2,1.000,.554,3,7,10,6,0,6,2,3,32,27.8,9.8,16,F-C,duncati01
20,Tim Duncan,6,1999-04-01,22-341,SAS,,VAN,W 103-91,*,46,19,31,.613,19,31,.613,0,0,,1,1,1.000,.620,2,11,13,0,0,6,3,4,39,29.2,2.4,11,F-C,duncati01
