Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Tim Duncan,53,2001-12-26,25-245,SAS,,DAL,L 123-126 (OT),*,50,19,28,.679,19,28,.679,0,0,,15,15,1.000,.766,4,7,11,4,0,3,6,5,53,42.8,11.4,-1,F-C,duncati01
2,Tim Duncan,47,2003-12-05,27-224,SAS,@,ORL,W 105-94,*,40,19,34,.559,19,32,.594,0,2,.000,9,13,.692,.592,3,9,12,2,0,1,2,3,47,32.9,12.7,7,F-C,duncati01
3,Tim Duncan,46,2000-01-10,23-260,SAS,,UTA,W 93-86,*,46,16,28,.571,16,27,.593,0,1,.000,14,16,.875,.656,3,11,14,2,0,1,3,2,46,35.7,11.5,6,F-C,duncati01
4,Tim Duncan,42,1999-12-09,23-228,SAS,,VAN,W 99-91,*,48,15,22,.682,15,22,.682,0,0,,12,14,.857,.746,5,9,14,4,2,1,3,2,42,39.7,15.6,9,F-C,duncati01
5,Tim Duncan,42,2001-04-12,24-352,SAS,,SAC,L 105-107 (OT),*,50,17,31,.548,17,31,.548,0,0,,8,10,.800,.593,3,8,11,5,1,4,3,3,42,33.9,13.3,2,F-C,duncati01
6,Tim Duncan,39,1999-04-01,22-341,SAS,,VAN,W 103-91,*,46,19,31,.613,19,31,.613,0,0,,1,1,1.000,.620,2,11,13,0,0,6,3,4,39,29.2,2.4,11,F-C,duncati01
7,Tim Duncan,39,2004-12-08,28-227,SAS,,SEA,L 96-102,*,40,14,24,.583,13,22,.591,1,2,.500,10,14,.714,.647,3,7,10,2,0,4,3,3,39,30.4,16.1,7,F-C,duncati01
8,Tim Duncan,38,2001-11-30,25-219,SAS,,SAC,L 106-109 (OT),*,49,13,23,.565,13,23,.565,0,0,,12,13,.923,.662,0,11,11,2,1,2,3,3,38,29.6,12.1,0,F-C,duncati01
9,Tim Duncan,38,2001-12-29,25-248,SAS,@,MIL,L 99-102 (OT),*,50,13,25,.520,13,24,.542,0,1,.000,12,15,.800,.601,4,12,16,3,0,3,6,1,38,28.7,8.1,-1,F-C,duncati01
10,Tim Duncan,38,2003-01-14,26-264,SAS,,PHO,W 108-100 (OT),*,51,16,25,.640,16,25,.640,0,0,,6,6,1.000,.687,4,12,16,9,1,4,2,4,38,39.8,21.6,8,F-C,duncati01
11,Tim Duncan,37,2002-03-16,25-325,SAS,,BOS,W 111-104,*,45,12,19,.632,12,19,.632,0,0,,13,17,.765,.699,2,8,10,1,2,1,4,3,37,28.9,5.1,1,F-C,duncati01
12,Tim Duncan,37,2003-01-03,26-253,SAS,,GSW,W 98-95,*,37,14,18,.778,14,18,.778,0,0,,9,9,1.000,.842,2,7,9,4,0,3,3,5,37,33.4,20.4,7,F-C,duncati01
13,Tim Duncan,37,2007-01-24,30-274,SAS,,HOU,L 85-90,*,40,15,28,.536,15,28,.536,0,0,,7,10,.700,.571,5,5,10,4,1,1,4,3,37,26.5,14.1,5,F-C,duncati01
14,Tim Duncan,36,1999-04-20,22-360,SAS,@,UTA,W 83-69,*,40,15,24,.625,15,24,.625,0,0,,6,8,.750,.654,3,7,10,1,0,7,3,3,36,30.0,19.7,17,F-C,duncati01
15,Tim Duncan,36,2000-03-28,23-338,SAS,@,POR,W 89-85,*,47,13,21,.619,13,21,.619,0,0,,10,11,.909,.697,5,10,15,6,1,3,3,3,36,35.7,19.1,9,F-C,duncati01
16,Tim Duncan,36,2001-01-25,24-275,SAS,@,SAC,W 97-91,*,44,15,23,.652,15,23,.652,0,0,,6,9,.667,.668,5,16,21,1,0,2,2,2,36,32.3,14.6,5,F-C,duncati01
17,Tim Duncan,36,2001-04-05,24-345,SAS,@,DEN,W 101-80,*,38,10,16,.625,10,16,.625,0,0,,16,19,.842,.739,4,9,13,4,0,1,3,3,36,32.4,13.4,14,F-C,duncati01
18,Tim Duncan,36,2002-02-15,25-296,SAS,@,GSW,W 108-99,*,43,12,24,.500,12,24,.500,0,0,,12,14,.857,.597,4,7,11,8,1,0,4,2,36,29.9,12.5,8,F-C,duncati01
19,Tim Duncan,36,2003-02-11,26-292,SAS,@,POR,W 116-111 (OT),*,46,13,21,.619,13,19,.684,0,2,.000,10,13,.769,.674,2,13,15,7,1,5,4,2,36,35.2,15.6,6,F-C,duncati01
20,Tim Duncan,36,2004-01-14,27-264,SAS,,MIN,L 93-100,*,44,14,26,.538,14,25,.560,0,1,.000,8,15,.533,.552,11,9,20,7,1,1,1,1,36,36.2,20.9,-10,F-C,duncati01
