Rk,Player,TRB,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Tim Duncan,27,2010-01-27,33-277,SAS,,ATL,W 105-90,*,35,5,20,.250,5,20,.250,0,0,,11,11,1.000,.423,10,17,27,6,0,1,0,3,21,24.8,11.0,10,F-C,duncati01
2,Tim Duncan,26,2010-02-17,33-298,SAS,@,IND,W 90-87,*,34,4,23,.174,4,23,.174,0,0,,0,0,,.174,11,15,26,5,2,2,2,1,8,10.2,1.1,19,F-C,duncati01
3,Tim Duncan,25,2003-02-01,26-282,SAS,@,MIA,W 67-65,*,46,6,13,.462,6,13,.462,0,0,,5,7,.714,.529,2,23,25,4,1,5,6,2,17,18.3,10.7,2,F-C,duncati01
4,Tim Duncan,23,2000-12-05,24-224,SAS,@,SAC,L 75-81,*,45,10,25,.400,10,25,.400,0,0,,3,6,.500,.416,9,14,23,2,1,5,5,5,23,17.7,6.9,-9,F-C,duncati01
5,Tim Duncan,23,2001-03-19,24-328,SAS,,POR,W 98-85,*,47,8,19,.421,7,18,.389,1,1,1.000,3,6,.500,.462,8,15,23,3,0,5,5,2,20,18.6,2.3,13,F-C,duncati01
6,Tim Duncan,23,2002-12-23,26-242,SAS,,NOH,W 99-94 (OT),*,51,12,26,.462,12,26,.462,0,0,,5,9,.556,.484,1,22,23,4,0,5,3,5,29,22.6,7.6,8,F-C,duncati01
7,Tim Duncan,22,1997-11-03,21-192,SAS,@,CHI,L 83-87 (2OT),*,47,8,14,.571,8,13,.615,0,1,.000,3,6,.500,.571,6,16,22,0,0,1,4,4,19,15.3,3.8,1,F-C,duncati01
8,Tim Duncan,22,2005-12-13,29-232,SAS,,LAC,W 95-87 (OT),*,45,12,25,.480,12,25,.480,0,0,,3,13,.231,.439,4,18,22,5,1,1,1,5,27,20.7,8.3,13,F-C,duncati01
9,Tim Duncan,21,1998-03-22,21-331,SAS,,PHO,W 93-83,*,44,12,22,.545,12,22,.545,0,0,,2,5,.400,.537,6,15,21,0,2,1,1,4,26,23.0,8.3,10,F-C,duncati01
10,Tim Duncan,21,2001-01-25,24-275,SAS,@,SAC,W 97-91,*,44,15,23,.652,15,23,.652,0,0,,6,9,.667,.668,5,16,21,1,0,2,2,2,36,32.3,14.6,5,F-C,duncati01
11,Tim Duncan,21,2001-02-08,24-289,SAS,@,NJN,L 97-99,*,45,12,23,.522,12,23,.522,0,0,,11,18,.611,.566,7,14,21,5,0,1,2,3,35,31.0,11.8,-3,F-C,duncati01
12,Tim Duncan,21,2002-01-29,25-279,SAS,,CHH,L 73-78,*,45,9,15,.600,9,15,.600,0,0,,11,13,.846,.700,7,14,21,3,1,2,4,2,29,30.1,16.7,2,F-C,duncati01
13,Tim Duncan,21,2002-02-12,25-293,SAS,@,SAC,L 86-99,*,37,10,24,.417,10,24,.417,0,0,,4,4,1.000,.466,12,9,21,2,0,3,5,4,24,19.2,5.6,-15,F-C,duncati01
14,Tim Duncan,21,2003-01-22,26-272,SAS,,MEM,L 93-98,*,41,8,17,.471,8,16,.500,0,1,.000,14,19,.737,.591,6,15,21,5,1,4,1,4,30,32.7,17.8,0,F-C,duncati01
15,Tim Duncan,21,2003-03-04,26-313,SAS,,PHO,L 97-104,*,44,14,18,.778,14,17,.824,0,1,.000,7,9,.778,.797,8,13,21,8,2,4,2,1,35,44.7,27.6,-6,F-C,duncati01
16,Tim Duncan,21,2003-03-06,26-315,SAS,,NJN,W 92-78,*,43,7,15,.467,6,14,.429,1,1,1.000,6,10,.600,.541,3,18,21,5,0,2,4,2,21,19.3,6.7,22,F-C,duncati01
17,Tim Duncan,21,2003-04-06,26-346,SAS,@,DET,W 89-83,*,44,10,22,.455,10,21,.476,0,1,.000,5,8,.625,.490,7,14,21,0,0,3,2,3,25,20.4,4.6,7,F-C,duncati01
18,Tim Duncan,21,2003-10-29,27-187,SAS,@,DEN,L 72-80,*,34,7,22,.318,7,22,.318,0,0,,3,4,.750,.358,5,16,21,1,2,8,5,4,17,14.0,8.3,-19,F-C,duncati01
19,Tim Duncan,21,2004-02-18,27-299,SAS,@,TOR,W 86-82,*,41,10,22,.455,10,22,.455,0,0,,6,13,.462,.469,8,13,21,2,0,4,4,0,26,21.5,9.4,4,F-C,duncati01
20,Tim Duncan,21,2012-12-12,36-231,SAS,@,UTA,L 96-99,*,33,8,17,.471,8,16,.500,0,1,.000,6,9,.667,.525,3,18,21,1,1,6,1,1,22,24.1,11.9,-7,F-C,duncati01
